sample_id,P_aeruginosa,P_putida,P_fluorescens,P_stutzeri,P_syringae,P_mendocina,P_alcaligenes,P_chlororaphis,P_protegens,P_synxantha,P_koreensis,P_lundensis,P_plecoglossicida,P_fulva,P_knackmussii,P_monteilii,P_veronii,P_viridiflava,P_brassicacearum,P_trivialis,P_lini,P_rhodesiae,P_gessardii,P_putrefaciens,P_fuscovaginae,P_libanensis,P_entomophila,P_parafulva,P_resinovorans,P_resinicola,P_poe,P_simiae,P_coronafaciens,P_extremorientalis,P_marginalis,P_peli,P_brassicae,P_anguilliseptica,P_pristinamycinicus,P_citronellolis
Assam_Tea_Plantation_20240415_rep3,0,82,3,46,229,46,191,46,334,102,2,12,47,378,887,5,73,9,23,153,79,11,2,25,1,25,10,23,139,0,84,35,276,86,90,15,8,30,11,19
Assam_Tea_Plantation_20240515_rep1,202,388,281,213,867,399,1063,70,6,408,13,153,100,1512,393,278,843,18,489,730,69,10,34,6,492,207,117,630,166,154,452,4,89,409,4,447,68,16,29,158
Assam_Tea_Plantation_20240515_rep2,263,40,0,127,612,249,12,147,162,583,0,118,162,521,622,187,157,811,29,376,47,129,10,67,967,56,33,13,26,185,128,129,10,590,106,39,330,59,252,513
Assam_Tea_Plantation_20240515_rep3,1,66,276,1264,1291,74,24,762,1346,2617,158,883,372,2237,606,914,35,104,1698,912,35,884,949,780,12,186,9,725,882,353,61,80,1798,8,73,16,421,384,629,133
Assam_Tea_Plantation_20240515_rep4,1,197,54,76,410,3,248,48,9,224,13,201,12,419,234,12,193,3,35,232,114,91,117,232,103,52,0,38,4,502,3,6,162,315,554,0,59,7,156,66
Assam_Tea_Plantation_20240515_rep5,68,1102,36,184,854,124,0,1217,77,1295,438,317,185,2182,2229,81,332,3176,67,1217,18,409,178,132,382,845,5,149,145,796,124,27,1087,1265,71,35,957,1479,477,183
Bhopal_Soybean_Zone_20240115_rep1,1259,2601,1605,1245,74,786,939,1166,203,40,356,54,56,124,27,184,0,94,14,31,36,273,2,95,55,296,706,244,43,60,67,219,37,925,1,6,18,84,57,285
Bhopal_Soybean_Zone_20240115_rep2,348,7,63,65,875,310,15,3,1238,583,20,65,20,486,599,143,37,413,102,987,524,0,401,184,199,414,246,882,760,331,16,275,474,96,257,727,193,264,23,59
Bhopal_Soybean_Zone_20240115_rep3,1597,2371,858,102,103,945,150,2254,54,0,28,8,26,0,477,69,550,121,401,27,89,69,1562,64,55,203,42,730,33,173,7,288,156,112,608,126,90,0,24,127
Bhopal_Soybean_Zone_20240115_rep4,836,967,1309,860,256,708,744,570,10,46,9,76,307,438,90,267,849,61,168,52,45,918,216,21,208,138,79,317,234,31,295,1,105,116,9,376,288,351,219,237
Bhopal_Soybean_Zone_20240115_rep5,708,204,632,442,8,131,158,127,19,20,62,1,1,50,81,178,11,7,34,70,1,173,21,8,124,102,15,19,8,1,86,96,197,90,16,27,4,34,9,9
Bhopal_Soybean_Zone_20240215_rep1,2548,1545,961,918,65,879,196,430,134,19,228,308,199,6,14,923,180,22,295,467,3,12,48,17,45,304,145,41,175,5,76,380,0,272,110,44,29,958,42,191
Bhopal_Soybean_Zone_20240215_rep2,180,720,912,154,1176,577,15,19,36,1534,124,74,21,982,1045,104,218,724,40,232,9,57,25,192,164,0,533,1,285,54,16,0,769,329,336,0,14,3,46,94
Bhopal_Soybean_Zone_20240215_rep3,261,258,517,397,50,104,580,45,7,23,88,87,75,81,42,2,2,92,32,9,142,108,51,3,14,43,13,55,26,66,71,163,18,1,49,7,86,10,42,57
Bhopal_Soybean_Zone_20240215_rep4,2997,1708,638,486,213,2840,2001,404,1890,6,135,249,564,460,1100,77,591,19,8,98,165,4,19,40,160,51,229,194,69,185,140,237,1059,464,82,12,242,3,147,21
Bhopal_Soybean_Zone_20240315_rep1,3107,475,4371,1217,165,831,299,953,743,407,11,44,30,243,663,227,84,444,129,596,975,38,32,557,365,4,726,48,50,137,66,11,322,12,533,162,94,8,82,243
Bhopal_Soybean_Zone_20240315_rep2,1117,651,927,937,81,2553,644,281,57,183,10,9,75,47,0,20,2,13,61,140,119,4,54,39,17,53,318,414,3,73,89,155,40,171,323,76,540,1,174,106
Bhopal_Soybean_Zone_20240315_rep3,1833,882,1045,555,647,1169,450,817,253,806,218,691,7,96,1620,21,50,67,7,437,1,29,14,0,156,451,220,22,105,56,110,0,170,227,70,875,620,18,0,293
Bhopal_Soybean_Zone_20240315_rep4,3334,461,3295,740,347,1533,828,1609,10,31,281,137,318,480,191,78,44,517,54,263,56,31,337,149,40,35,878,441,16,1197,38,56,49,159,404,10,468,1481,150,448
Bhopal_Soybean_Zone_20240415_rep1,492,820,626,714,217,529,347,256,28,303,0,190,55,300,14,221,49,242,6,231,12,355,55,3,19,4,16,90,67,393,1,124,253,141,105,223,3,67,107,19
Bhopal_Soybean_Zone_20240415_rep2,314,707,328,827,77,707,211,189,85,4,136,76,29,9,47,120,58,37,807,7,18,99,351,14,49,182,297,285,10,2,10,130,52,50,0,54,203,1,21,20
Bhopal_Soybean_Zone_20240415_rep3,706,4068,497,1208,79,3383,1946,1039,577,66,778,62,133,31,63,227,38,423,460,286,382,54,119,417,395,1738,27,217,2,804,23,172,160,452,317,500,25,10,501,18
Bhopal_Soybean_Zone_20240415_rep4,3,542,34,85,1374,245,561,1059,548,1272,83,311,204,1974,1131,37,2045,96,816,3126,829,131,430,596,46,113,663,7,828,247,59,1219,30,16,21,155,1194,1011,16,755
Bhopal_Soybean_Zone_20240415_rep5,588,432,787,553,0,402,305,469,527,149,9,4,32,11,107,39,131,273,3,81,0,216,119,43,59,194,492,240,135,119,32,8,313,2,442,137,25,2,424,17
Bhopal_Soybean_Zone_20240415_rep6,1534,1544,433,1089,505,342,1692,596,378,91,67,27,23,295,19,95,41,41,5,7,0,55,121,113,143,188,235,5,179,176,160,40,55,4,19,180,164,126,191,8
Bhopal_Soybean_Zone_20240515_rep1,1989,2508,892,789,184,102,1528,537,568,68,175,1390,218,87,73,53,10,60,48,274,595,1169,135,57,207,281,172,160,146,228,4,124,683,873,630,110,65,87,59,19
Bhopal_Soybean_Zone_20240515_rep2,1292,3945,946,1987,100,1174,985,2511,157,43,219,377,0,982,330,873,170,548,232,77,212,36,238,31,24,292,21,376,273,39,306,204,362,26,190,672,7,461,40,214
Bhopal_Soybean_Zone_20240515_rep3,2231,917,2168,614,425,2361,1583,1853,250,223,3,258,242,24,244,42,166,132,109,2,11,72,391,40,71,73,663,557,175,202,188,536,569,55,169,69,8,381,138,20
Bhopal_Soybean_Zone_20240515_rep4,507,987,131,51,1996,824,55,498,353,945,26,1350,399,505,588,219,448,186,182,1601,407,10,1447,377,679,5,882,14,583,64,19,434,308,93,39,356,14,256,50,261
Kerala_Paddy_Wetland_20240115_rep1,298,461,8,216,2432,494,182,227,680,2966,895,1029,281,450,1720,94,20,504,449,579,127,1483,219,12,719,0,122,5,94,994,242,1866,627,39,480,95,95,174,52,67
Kerala_Paddy_Wetland_20240115_rep2,14,10,72,77,587,0,77,41,11,118,409,163,54,317,230,4,23,72,94,130,34,18,287,22,89,0,2,36,5,2,50,5,26,11,0,1,41,47,17,43
Kerala_Paddy_Wetland_20240115_rep3,397,805,26,274,683,46,191,54,346,1302,388,29,53,813,1385,77,66,15,109,1821,88,421,14,136,127,6,95,1286,70,42,2,29,319,396,34,96,38,139,384,38
Kerala_Paddy_Wetland_20240115_rep4,378,154,35,557,999,3,2,233,266,1066,0,199,203,1787,1776,921,863,280,66,1122,67,1026,1235,467,567,279,21,2107,137,15,63,7,257,551,11,52,130,65,1775,20
Kerala_Paddy_Wetland_20240115_rep5,96,4,296,71,2897,207,419,1,244,501,172,2338,787,552,1001,164,106,287,971,1285,43,1096,927,2,656,480,121,147,96,146,511,1336,197,1690,175,140,1472,72,141,522
Kerala_Paddy_Wetland_20240115_rep6,23,1,24,723,1817,840,198,63,223,847,1748,383,342,1229,1419,983,283,2,742,1349,16,47,0,317,61,742,971,220,660,9,78,387,68,1,66,122,733,41,403,232
Kerala_Paddy_Wetland_20240215_rep1,1225,330,262,311,3369,751,573,1048,139,2944,93,0,323,2192,1943,48,329,29,1143,2821,277,252,594,15,180,684,42,377,45,139,75,205,428,1,661,160,99,28,30,20
Kerala_Paddy_Wetland_20240215_rep2,2830,1090,1260,2335,322,891,2441,425,11,15,369,19,130,759,228,66,26,19,109,4,25,31,9,95,1054,19,32,55,225,263,8,29,155,303,1524,4,131,116,58,952
Kerala_Paddy_Wetland_20240215_rep3,186,56,35,6,639,88,8,159,233,519,298,52,40,1079,473,67,139,165,240,738,246,69,43,11,3,154,70,43,127,56,32,8,100,628,269,15,11,182,207,149
Kerala_Paddy_Wetland_20240215_rep4,236,402,85,1517,646,254,217,137,59,435,42,78,7,578,233,121,24,27,16,405,80,50,143,38,67,169,53,34,2,32,226,560,1062,110,8,101,154,70,189,296
Kerala_Paddy_Wetland_20240215_rep5,192,15,2,0,297,0,18,2,64,512,0,184,19,425,359,152,25,5,39,137,56,13,127,43,170,33,3,187,1,96,60,6,14,95,45,16,16,85,48,172
Kerala_Paddy_Wetland_20240315_rep1,326,734,166,302,485,2,79,885,270,1461,274,65,104,2314,277,1492,14,219,213,648,706,68,223,550,519,183,1,154,214,617,72,49,704,1022,143,24,44,177,226,458
Kerala_Paddy_Wetland_20240315_rep2,5,4,3,101,354,165,97,3,171,261,6,0,3,526,713,47,13,9,125,146,570,59,164,463,38,225,49,1,57,77,188,97,35,435,87,50,0,479,5,30
Kerala_Paddy_Wetland_20240315_rep3,25,1023,398,533,1714,203,20,91,1429,327,372,717,443,872,1991,194,371,0,129,404,27,60,37,122,38,0,104,1095,1030,67,76,389,189,196,220,20,0,178,143,50
Kerala_Paddy_Wetland_20240315_rep4,52,359,296,20,918,461,492,34,132,246,57,155,367,1806,2206,23,703,45,46,1746,255,431,251,1382,40,176,23,1080,70,104,278,299,237,485,1,211,116,144,170,268
Kerala_Paddy_Wetland_20240315_rep5,96,17,50,311,1667,158,208,630,467,882,97,182,109,278,4618,546,73,1103,292,2080,31,63,61,365,300,549,236,189,580,504,67,142,119,1386,0,1198,37,705,834,28
Kerala_Paddy_Wetland_20240415_rep1,331,595,1381,534,976,317,479,821,17,1597,26,862,106,1564,370,1563,190,22,326,669,614,80,1532,528,1076,99,18,575,2,233,3,445,262,50,16,130,609,1015,609,810
Kerala_Paddy_Wetland_20240415_rep2,245,432,95,1,2797,153,14,151,0,1373,198,531,181,263,1109,250,35,5,492,778,99,35,42,56,0,2,114,71,0,245,184,12,50,349,129,158,57,0,76,50
Kerala_Paddy_Wetland_20240415_rep3,1185,818,1482,853,317,1043,1119,843,161,1053,496,6,68,70,3,280,50,89,95,4,666,327,3,229,47,107,127,188,0,5,114,76,177,69,54,1655,17,330,394,272
Kerala_Paddy_Wetland_20240415_rep4,11,51,107,111,1489,47,69,93,79,568,52,6,63,181,928,163,68,8,0,670,797,38,592,61,29,239,110,31,25,250,122,0,115,230,1,4,5,41,94,8
Kerala_Paddy_Wetland_20240515_rep1,103,1,563,419,1215,11,212,103,388,737,436,34,501,2459,1908,0,109,447,25,1118,690,688,1829,92,28,637,218,115,27,1003,7,5,54,828,89,29,51,112,45,15
Kerala_Paddy_Wetland_20240515_rep2,117,23,79,51,172,90,50,192,46,327,0,22,188,336,481,4,58,78,63,506,102,229,131,1,189,10,14,8,128,160,114,3,2,31,327,609,282,165,39,408
Kerala_Paddy_Wetland_20240515_rep3,247,190,9,114,1083,38,5,185,163,240,4,213,65,424,636,482,58,15,198,536,8,0,142,77,52,43,95,401,13,15,417,251,88,1,85,525,133,36,0,202
Kerala_Paddy_Wetland_20240515_rep4,260,12,29,207,470,23,5,188,221,753,116,38,129,198,773,45,548,53,35,1279,444,24,481,268,14,10,557,374,89,102,114,616,32,268,271,5,14,15,154,2
Punjab_Wheat_Belt_20240115_rep1,171,149,518,1071,1830,3,70,205,278,1088,124,11,364,491,2855,5,845,526,1230,1191,65,321,552,86,40,1426,1257,350,17,48,55,245,0,502,14,38,4,470,95,88
Punjab_Wheat_Belt_20240115_rep2,263,641,266,3,883,175,0,13,162,1315,187,154,376,805,1057,53,316,14,415,377,27,276,1157,21,208,290,18,0,332,30,23,18,84,121,1337,855,237,360,11,98
Punjab_Wheat_Belt_20240115_rep3,467,441,584,294,841,345,454,341,236,1618,3,29,192,1005,1008,947,161,110,279,1142,66,10,595,292,209,76,95,577,605,178,34,332,186,165,500,103,1000,63,7,1038
Punjab_Wheat_Belt_20240215_rep1,2359,1243,455,2283,179,1426,180,1416,230,98,63,128,246,644,371,377,356,747,613,9,219,191,353,489,2362,146,276,219,95,592,11,0,22,835,148,1253,2,1,340,612
Punjab_Wheat_Belt_20240215_rep2,246,1,11,250,696,145,577,108,117,1690,14,29,106,416,636,0,85,519,410,715,672,144,116,150,122,120,1421,56,78,8,3,298,770,64,248,256,298,117,78,128
Punjab_Wheat_Belt_20240215_rep3,42,182,103,21,745,356,46,130,263,337,80,55,7,276,544,37,50,33,397,496,5,79,1,409,187,5,12,7,78,412,125,1,49,127,150,24,318,103,365,82
Punjab_Wheat_Belt_20240315_rep1,24,100,37,0,274,40,7,91,204,516,6,13,51,216,225,19,1,10,324,262,47,0,16,227,155,28,22,223,12,2,278,116,60,1,301,51,69,6,503,32
Punjab_Wheat_Belt_20240315_rep2,352,5,43,262,1329,760,885,592,240,1910,274,174,941,1123,1663,1,56,446,938,1301,89,2107,307,1401,27,226,957,26,112,1705,22,32,395,180,72,566,330,299,488,77
Punjab_Wheat_Belt_20240315_rep3,249,430,146,118,638,0,125,0,5,622,220,778,30,747,2251,428,337,1185,195,2069,7,75,769,102,345,16,10,705,299,29,310,1287,146,72,807,935,102,13,686,145
Punjab_Wheat_Belt_20240315_rep4,304,1261,419,331,1846,98,756,56,464,2033,247,1724,177,968,570,388,177,389,355,3192,171,113,59,405,213,579,497,593,121,1,10,649,318,113,138,30,254,646,30,226
Punjab_Wheat_Belt_20240415_rep1,1056,141,523,44,1592,550,394,557,48,4417,153,221,506,746,2565,0,1661,11,28,1452,9,351,556,94,41,177,92,144,12,93,219,248,593,74,1782,581,17,49,92,370
Punjab_Wheat_Belt_20240415_rep2,122,38,110,515,2836,121,269,567,325,2353,346,399,18,3476,1159,565,2004,177,208,1603,94,1,46,726,485,306,1135,76,509,1303,30,142,902,10,26,781,9,173,573,21
Punjab_Wheat_Belt_20240415_rep3,298,106,25,9,414,1,16,32,295,123,9,78,4,160,661,4,546,433,29,712,208,26,24,3,1,46,615,19,31,22,19,43,185,322,267,61,105,3,306,28
Punjab_Wheat_Belt_20240415_rep4,596,183,26,107,250,7,21,105,2,456,4,476,116,575,685,55,43,15,19,302,41,290,19,172,54,22,32,89,28,1,133,135,1,189,254,7,210,55,61,200
Punjab_Wheat_Belt_20240515_rep1,106,744,263,833,268,827,466,3,1790,1529,403,430,1295,2872,1075,96,12,392,436,2181,2121,240,136,142,118,168,245,158,69,51,367,528,153,28,497,44,753,2058,26,113
Punjab_Wheat_Belt_20240515_rep2,145,403,280,128,39,628,61,460,177,33,13,37,7,100,24,50,119,221,52,98,123,2,46,15,188,66,36,33,5,29,286,21,9,5,9,63,0,122,15,7
Punjab_Wheat_Belt_20240515_rep3,26,322,83,160,222,114,74,37,4,382,467,76,37,277,237,67,81,2,110,636,99,192,1,30,147,3,160,34,8,182,57,229,536,190,87,571,65,224,189,111
Varanasi_Rice_Farm_20240115_rep1,2208,2003,2195,1607,109,1255,1512,2283,321,156,0,34,31,6,54,19,13,84,32,31,8,386,464,239,27,1031,163,86,491,1282,197,37,32,293,21,461,133,163,3208,257
Varanasi_Rice_Farm_20240115_rep2,1311,2265,764,1021,158,637,1565,955,81,66,72,74,494,7,124,187,655,361,160,230,392,283,19,25,2,209,19,416,374,111,3,27,54,225,2,0,92,56,3,14
Varanasi_Rice_Farm_20240115_rep3,1731,1918,1112,1909,7,622,1890,400,73,111,255,482,9,346,1,155,345,810,15,0,260,94,470,301,487,231,186,147,472,0,606,311,560,0,115,672,17,203,596,21
Varanasi_Rice_Farm_20240115_rep4,639,313,53,607,603,327,676,259,92,1549,58,332,61,2290,932,1389,1218,362,635,400,95,243,631,72,38,299,88,14,90,40,58,44,106,1556,211,329,547,103,217,999
Varanasi_Rice_Farm_20240115_rep5,374,980,824,644,122,857,368,202,95,9,12,25,4,299,21,132,37,6,455,100,40,442,252,18,8,245,155,83,154,4,60,74,178,280,514,36,30,53,28,12
Varanasi_Rice_Farm_20240215_rep1,330,444,521,47,19,292,655,418,46,62,117,1,19,0,12,115,15,200,76,80,202,242,34,5,119,135,73,1,76,44,86,5,21,41,240,88,98,13,96,48
Varanasi_Rice_Farm_20240215_rep2,1189,2881,2436,2327,506,760,1722,875,1572,15,71,608,1004,50,23,468,170,1532,326,9,69,412,5,12,392,365,783,1291,648,163,14,483,307,53,120,0,107,28,35,589
Varanasi_Rice_Farm_20240215_rep3,159,38,1,1131,1065,846,112,33,0,703,125,127,10,1449,635,733,417,19,1290,1594,28,514,1040,259,316,43,21,90,14,1,754,309,57,133,692,22,245,693,185,19
Varanasi_Rice_Farm_20240215_rep4,1649,236,1004,1217,815,686,376,943,647,10,29,20,156,264,46,84,118,41,1,42,277,457,941,346,129,314,47,62,936,1092,1097,35,203,288,493,780,87,231,184,33
Varanasi_Rice_Farm_20240215_rep5,34,187,498,313,672,89,654,164,189,1625,127,75,266,1454,295,1078,72,16,422,1270,11,247,763,153,110,36,129,11,296,584,589,907,57,152,175,1437,3,71,205,211
Varanasi_Rice_Farm_20240215_rep6,597,51,196,421,1,92,155,101,13,200,100,37,137,420,102,16,40,149,8,3,17,44,14,10,24,9,16,212,38,125,36,76,59,380,1,48,31,17,190,72
Varanasi_Rice_Farm_20240315_rep1,86,309,97,0,2281,3,173,54,49,231,600,2,36,1909,2747,59,93,447,96,1748,0,795,204,144,23,435,1004,207,43,3,716,4,109,14,116,518,37,255,572,1553
Varanasi_Rice_Farm_20240315_rep2,718,334,103,410,98,287,595,347,1,1,251,47,35,48,31,148,35,33,13,34,0,39,43,66,17,26,1,20,166,112,3,31,28,267,12,102,93,47,39,109
Varanasi_Rice_Farm_20240315_rep3,537,237,662,594,8,161,233,153,25,4,8,19,104,4,31,454,22,19,10,0,53,143,2,33,10,228,18,8,183,25,221,118,1,3,1,9,2,193,9,83
Varanasi_Rice_Farm_20240315_rep4,349,343,302,184,331,34,376,311,8,13,9,4,18,7,106,47,6,60,40,198,43,33,105,91,34,17,15,63,5,28,20,3,5,190,44,3,31,6,38,0
Varanasi_Rice_Farm_20240415_rep1,958,331,872,680,72,731,97,945,200,15,26,10,71,340,0,93,136,41,4,438,146,12,2,20,235,73,1,6,53,17,128,4,2,381,133,3,14,285,56,2
Varanasi_Rice_Farm_20240415_rep2,1164,2007,1402,616,494,1423,1801,745,113,41,319,25,1,63,53,73,9,576,54,263,206,1085,29,62,17,7,21,206,20,67,109,190,43,335,17,1009,51,172,744,126
Varanasi_Rice_Farm_20240415_rep3,1137,961,860,673,110,312,403,1091,744,225,163,2,7,120,1,165,43,295,44,422,41,0,7,26,1,37,270,230,136,6,184,325,7,2,42,13,27,65,5,606
Varanasi_Rice_Farm_20240415_rep4,376,8,260,69,488,59,330,678,309,236,0,22,137,1050,343,115,51,8,512,595,52,26,430,753,5,332,5,87,6,2,304,126,1055,139,430,58,13,112,174,449
Varanasi_Rice_Farm_20240515_rep1,143,281,1528,207,1383,141,555,117,347,222,24,89,16,284,1110,10,57,110,28,631,351,14,3,44,139,300,400,0,14,0,443,291,76,394,13,276,26,86,206,595
Varanasi_Rice_Farm_20240515_rep2,100,75,119,955,151,60,1,413,376,1513,45,159,71,1225,775,50,115,382,786,181,190,23,224,24,9,25,183,48,103,3,12,67,280,19,222,386,3,63,93,115
Varanasi_Rice_Farm_20240515_rep3,447,602,239,663,4,330,507,1313,122,21,1,135,303,477,161,82,80,75,193,99,10,0,205,3,25,21,389,202,22,1,43,5,222,81,495,213,44,26,119,169
Varanasi_Rice_Farm_20240515_rep4,298,314,446,176,60,130,250,185,28,2,58,11,23,242,1,3,271,0,21,27,30,1,4,138,19,2,119,185,121,23,3,117,10,7,27,57,16,73,142,176
Varanasi_Rice_Farm_20240515_rep5,44,36,0,0,958,383,308,393,295,762,48,92,0,276,882,506,1,764,369,784,85,286,85,0,28,5,23,47,71,83,34,160,35,293,118,146,90,196,379,55
Coimbatore_Sugarcane_Field_20240115_rep1,1,248,3,12,466,11,137,98,433,1338,45,0,5,958,793,272,23,282,52,2106,24,175,907,714,349,109,0,151,511,0,51,478,70,37,155,248,278,23,90,120
Coimbatore_Sugarcane_Field_20240115_rep2,580,2,21,87,78,959,14,354,154,1564,213,23,348,1311,577,3,178,27,274,41,570,105,53,15,29,88,180,284,104,234,495,81,440,74,110,74,388,366,145,53
Coimbatore_Sugarcane_Field_20240115_rep3,29,123,97,20,222,10,26,32,63,269,239,72,108,299,599,63,330,2,62,189,3,195,212,22,50,34,12,47,58,0,29,139,115,29,288,40,0,21,0,310
Coimbatore_Sugarcane_Field_20240115_rep4,872,399,255,622,1099,295,6,41,838,2458,147,203,135,2550,2021,197,18,479,83,1215,1,365,365,613,273,39,51,238,291,147,1121,245,216,255,390,131,159,6,249,128
Coimbatore_Sugarcane_Field_20240115_rep5,772,1103,744,1138,3,985,407,915,1,126,219,3,209,83,6,0,288,18,11,17,116,578,113,194,259,99,24,833,601,168,349,0,97,171,101,77,74,709,237,48
Coimbatore_Sugarcane_Field_20240115_rep6,1815,1950,2071,444,612,1703,1108,504,2485,286,709,649,138,1167,291,13,234,37,15,213,248,4,174,727,0,50,183,23,5,415,739,2,33,148,510,180,268,50,0,2
Coimbatore_Sugarcane_Field_20240215_rep1,3,597,273,417,372,97,1508,702,149,293,10,191,961,258,2146,21,309,479,21,1021,33,859,849,8,35,851,66,44,87,284,38,107,113,160,891,112,128,244,212,35
Coimbatore_Sugarcane_Field_20240215_rep2,272,414,590,157,1028,145,17,377,77,532,203,104,19,1634,2347,62,83,223,37,930,148,192,445,156,491,197,791,553,705,302,138,205,318,176,0,288,425,666,36,3
Coimbatore_Sugarcane_Field_20240215_rep3,1319,61,31,495,412,130,425,82,744,890,829,1239,43,2125,1768,144,358,1,7,1386,377,215,770,96,256,19,49,72,242,115,369,216,959,339,266,84,181,1188,401,215
Coimbatore_Sugarcane_Field_20240215_rep4,33,8,994,56,1903,4,16,2,914,495,426,218,926,289,611,295,25,34,183,481,3,0,55,11,517,90,142,212,76,441,87,197,147,33,151,358,78,4,965,240
Coimbatore_Sugarcane_Field_20240215_rep5,180,205,567,80,373,159,85,40,137,575,0,348,362,1178,1171,1014,286,87,31,107,692,47,185,17,165,734,498,37,936,91,88,39,31,16,70,320,61,67,90,129
Coimbatore_Sugarcane_Field_20240315_rep1,97,204,910,334,811,35,866,745,1693,1502,629,383,647,1853,2473,474,51,9,29,909,501,120,94,205,19,97,2638,13,89,385,8,538,2375,1013,232,356,1017,5,390,5
Coimbatore_Sugarcane_Field_20240315_rep2,411,129,952,1234,988,57,90,245,7,2067,70,981,152,1458,4203,580,214,19,60,525,3,548,608,183,74,237,95,34,12,0,74,40,24,139,652,905,259,1433,88,254
Coimbatore_Sugarcane_Field_20240315_rep3,1754,1099,2140,2605,11,1135,870,392,205,191,438,161,301,4,185,1056,59,202,182,22,130,8,98,615,65,74,462,7,73,501,41,178,168,60,51,18,898,107,47,11
Coimbatore_Sugarcane_Field_20240315_rep4,32,434,22,96,397,544,139,10,178,133,93,366,22,89,53,0,176,0,0,497,44,41,12,135,206,37,176,15,24,7,1,24,19,7,26,12,61,5,8,3
Coimbatore_Sugarcane_Field_20240315_rep5,421,94,12,90,680,3,75,13,22,257,5,39,8,621,895,517,43,398,19,363,39,147,122,430,210,8,12,116,6,84,596,212,177,42,108,83,791,6,142,113
Coimbatore_Sugarcane_Field_20240415_rep1,164,216,339,896,3283,153,505,528,93,1066,118,934,3,1019,969,111,36,18,54,1627,1085,64,9,262,470,630,399,1089,730,37,563,3314,825,3,62,13,1030,105,1930,141
Coimbatore_Sugarcane_Field_20240415_rep2,112,6,50,676,1728,381,207,98,88,1270,0,47,760,343,499,90,2,74,419,1276,372,68,117,9,8,25,525,83,0,36,34,41,79,104,379,9,385,114,90,529
Coimbatore_Sugarcane_Field_20240415_rep3,721,1507,97,269,306,361,463,743,70,13,10,19,159,1,22,110,2,227,11,112,11,16,6,305,0,81,29,18,46,45,0,81,75,141,60,56,109,107,169,45
Coimbatore_Sugarcane_Field_20240415_rep4,1996,2133,543,355,1013,275,136,32,155,1210,408,41,436,1673,1694,41,640,135,466,690,31,33,9,173,121,15,369,68,256,1080,92,1578,140,644,243,100,174,12,10,343
Coimbatore_Sugarcane_Field_20240515_rep1,231,96,866,665,2399,8,30,99,1045,988,403,14,431,939,1361,871,9,0,396,2366,99,55,396,413,601,4,438,1650,716,0,115,717,258,23,68,207,46,94,3005,993
Coimbatore_Sugarcane_Field_20240515_rep2,249,141,779,475,1711,0,465,495,8,996,214,279,198,2221,352,422,30,272,131,260,102,99,138,20,24,523,232,293,1,11,129,824,166,7,742,2,100,97,684,224
Coimbatore_Sugarcane_Field_20240515_rep3,394,391,51,3,239,268,599,209,76,873,290,127,9,187,635,12,44,372,37,358,991,256,308,92,58,270,162,104,58,530,148,10,67,115,490,129,290,961,21,565
Coimbatore_Sugarcane_Field_20240515_rep4,128,43,53,6,118,100,111,110,9,497,11,382,4,389,846,3,146,94,73,282,26,155,243,10,19,23,8,148,14,81,1,139,379,1,141,286,34,60,107,345
Nagpur_Cotton_Field_20240115_rep1,168,53,136,324,1028,242,111,134,257,2308,498,894,0,523,2016,219,306,412,177,1307,1122,253,1728,218,57,58,441,488,106,160,149,285,392,34,156,333,20,0,287,1135
Nagpur_Cotton_Field_20240115_rep2,35,528,237,40,3214,979,129,923,174,929,139,10,27,1956,1535,482,216,251,397,1397,1,5,3,47,11,631,1195,706,28,288,9,165,1700,98,260,1,608,932,35,33
Nagpur_Cotton_Field_20240115_rep3,184,224,68,54,1696,7,10,81,132,237,325,312,190,676,859,144,166,265,606,787,11,151,263,144,28,27,829,38,3428,306,16,34,147,65,436,157,953,281,179,700
Nagpur_Cotton_Field_20240115_rep4,647,4679,1068,1495,1,824,1053,1016,545,173,578,24,234,1021,118,580,1323,721,472,569,420,44,0,51,81,192,159,645,823,426,76,514,1258,117,78,160,4,646,69,230
Nagpur_Cotton_Field_20240115_rep5,2355,1048,1442,2769,73,467,1951,1491,106,363,38,177,234,1081,524,6,365,576,301,165,20,250,541,42,48,75,44,189,7,651,23,1231,747,1390,1,21,24,620,1214,620
Nagpur_Cotton_Field_20240215_rep1,956,1194,1086,590,284,517,302,841,1127,22,166,10,1123,156,36,1,0,541,216,41,298,3,26,216,30,511,321,327,15,596,7,66,7,2349,31,936,612,1136,27,476
Nagpur_Cotton_Field_20240215_rep2,9,22,0,39,606,69,71,20,2,728,4,51,142,711,399,71,152,726,119,638,421,7,201,96,30,57,17,296,7,2,19,211,136,10,72,0,124,20,141,71
Nagpur_Cotton_Field_20240215_rep3,923,792,872,1252,519,488,987,1722,612,113,346,66,11,472,287,13,152,122,21,3,7,2,152,555,636,43,32,224,166,107,101,317,1,377,750,515,167,1425,277,626
Nagpur_Cotton_Field_20240215_rep4,1390,1048,1431,670,139,584,1134,722,1326,1022,1027,6,469,203,33,6,122,362,3,41,152,398,493,324,36,236,191,128,1749,398,63,216,73,133,299,0,172,261,14,115
Nagpur_Cotton_Field_20240315_rep1,31,22,188,283,1384,233,23,19,308,2930,12,613,8,1413,1129,12,77,91,1,371,1,475,37,139,118,100,91,1330,93,171,621,249,149,134,136,32,901,106,393,241
